case-to-infection proportion	the number of cases of a disease divided by the number of infections with the agent that causes the disease
case-to-infection ratio	the number of cases of a disease divided by the number of infections with the agent that causes the disease
caseate	turn into cheese | become cheeselike
casebook	according to or characteristic of a casebook or textbook; typical | a book in which detailed written records of a case are kept and which are a source of information for subsequent work
cased	covered or protected with or as if with a case | enclosed in a case
caseful	the quantity contained in a case
casein	a milk protein used in making e.g. plastics and adhesives | a water-base paint made with a protein precipitated from milk
casein glue	made from casein; used for e.g. plywood and cabinetwork
casein paint	a water-base paint made with a protein precipitated from milk
casemaking clothes moth	the larvae live in tubes of its food material fastened with silk that it spins
casement	a window sash that is hinged (usually on one side)
casement window	a window with one or more casements
caseous	of damaged or necrotic tissue; cheeselike
casern	military barracks in a garrison town
casework	close sociological study of a maladjusted person or family for diagnosis and treatment
caseworker	someone employed to provide social services (especially to the disadvantaged)
caseworm	insect larva that constructs a protective case around its body
Casey Jones	United States railroad engineer who died trying to stop his train from crashing into another train; a friend wrote a famous ballad describing the incident (1864-1900)
Casey Stengel	United States baseball manager (1890-1975)
Cash	money in the form of bills or coins | exchange for cash | United States country music singer and songwriter (1932-2003) | prompt payment for goods or services in currency or by check
cash account	an account with a securities brokerage whose transactions are settled on a cash basis
cash advance	an amount paid before it is earned
cash bar	a counter at a large party where you can purchase drinks by the glass
cash basis	a method of accounting in which each item is entered as payments are received or made
cash card	a payment card that entitles the holder to receive cash
cash cow	a project that generates a continuous flow of money
cash crop	a readily salable crop that is grown and gathered for the market (as vegetables or cotton or tobacco)
cash dispenser	an unattended machine (outside some banks) that dispenses money when a personal coded card is used
cash equivalent	a highly liquid debt instrument with maturities of less than three months
cash flow	the excess of cash revenues over cash outlays in a given period of time (not including non-cash expenses)
cash in	exchange for cash
cash in hand	assets in the form of money
cash in on	take advantage of or capitalize on
cash in one's chips	pass from physical life and lose all bodily attributes and functions necessary to sustain life
cash machine	an unattended machine (outside some banks) that dispenses money when a personal coded card is used
cash on delivery	collecting the charges upon delivery
cash out	choose a simpler life style after questioning personal and career satisfaction goals
cash price	the current delivery price of a commodity traded in the spot market
cash register	a cashbox with an adding machine to register transactions; used in shops to add up the bill
cash reserve ratio	a percentage of the bank's total deposits, kept to ensure that the bank is able to pay an unusually high number of withdrawals on demand accounts should that event occur.
cash surrender value	the amount that the insurance company will pay on a given life insurance policy if the policy is cancelled prior to the death of the insured
cash-and-carry	sold for cash and the customer carries it away (no delivery service)
cashable	able to be converted into ready money or the equivalent
cashbox	a strongbox for holding cash
cashcard	a payment card that entitles the holder to receive cash
cashed	for which money has been paid
cashew	tropical American evergreen tree bearing kidney-shaped nuts that are edible only when roasted | kidney-shaped nut edible only when roasted
cashew nut	kidney-shaped nut edible only when roasted
cashew tree	tropical American evergreen tree bearing kidney-shaped nuts that are edible only when roasted
cashier	an employee of a bank who receives and pays out money | a person responsible for receiving payments for goods and services (as in a shop or restaurant) | discard or do away with | discharge with dishonor, as in the army
cashier's check	a check issued by the officer of a bank on the banks own account (not that of a private person)
